Property Name,Address,Phone,Phone 2,Phone 3,HotelRating,state,cityName,timezone
Georgian Garden Inn,5159 State Route 23 WindhamNew York 12496 ,203-850-0612,518-898-4079,347-693-0800,FiveStar,new york,"Kingston,   New York",Eastern
Sea Vista Resort,1701 South Atlantic Avenue New Smyrna BeachFlorida 32169 ,386-428-2210,800-874-3917,386-428-2195,All,florida,"Daytona Beach,   Florida",Eastern
Premiere Motor Inn,3218 Atlantic Avenue P.O. Box 96WildwoodNew Jersey 08260 ,609-522-6482,609-729-0050,609-729-0772,ThreeStar,new jersey,"Wildwood,   New Jersey",Eastern
Olde Town Inn,349 Telfair Street AugustaGeorgia 30901 ,706-833-9463,706-831-2823,706-828-5600,All,georgia,"Augusta,   Georgia",Eastern
Sand Castle,20000 Gulf Blvd. Indian ShoresFlorida 33785 ,727-365-1570,817-528-5003,727-244-4892,ThreeStar,florida,"Indian Shores,   Florida",Eastern
Bridges Townhome Condos,9 Bridges Lane Eagle Lodge AreaMammoth LakesCalifornia 93546 ,760-934-8372,760-934-3031,800-325-8415,All,maryland,"California,   Maryland",Eastern
Fair Motel,255 Route 17 South Upper Saddle RiverNew Jersey 07458 ,201-818-8554,201-818-7317,,All,new jersey,"Saddle River,   New Jersey",Eastern
Elizabeth Rose House,61 Fletcher Street KennebunkMaine 04043 ,207-467-3599,207-216-1147,,All,north carolina,"Kennebunk,   North Carolina",Eastern
The Garrison,1099 Post Road 04090 Wells ,800-646-3497,207-646-3497,,ThreeStar,north carolina,"Wells,   North Carolina",Eastern
Restful Nest Bed and Breakfast,4274 Buckeye Creek Road MariposaCalifornia 95338 ,800-664-7127,209-742-7127,,ThreeStar,maryland,"California,   Maryland",Eastern
Soul Food,West 120s Streets Between Lenox and Fifth Avenue HarlemNew York CityNew York 10027 ,212-369-8845,212-222-1498,,ThreeStar,new york,"New York,   New York",Eastern
Museum - The American Museum of Natural History,Central Park West at 79th Street New YorkNew York 10024-5192 ,212-769-5100,212-769-5200,,ThreeStar,new york,"New York,   New York",Eastern
The Colonels B&B and Inn,3890 Barnett Shoals Road AthensGeorgia 30605 ,706-559-9595,215-203-2503,,ThreeStar,georgia,"Athens,   Georgia",Eastern
Timberlake Lodge Hotel,144 Southeast 17th Street Grand RapidsMinnesota 55744 ,866-800-2200,218-326-2600,,FourStar,michigan,"Grand Rapids,   Michigan",Eastern
